zip_code,submarket,city,county,representative_address,sv_real_estate,sv_apartments_for_sale,sv_homes_for_sale,sv_homes_for_sale_alt,sv_real_estate_alt,total_monthly_sv,sv_rank,total_population_zip,total_population_city,total_population_county,median_age_zip,median_age_city,median_age_county,population_density_zip,population_density_city,population_density_county,population_growth_pct_zip,population_growth_pct_city,population_growth_pct_county,avg_household_size_zip,avg_household_size_city,avg_household_size_county,median_hhi_zip,median_hhi_city,median_hhi_county,median_hhi_2029_zip,median_hhi_2029_city,median_hhi_2029_county,hhi_growth_5yr_pct_zip,hhi_growth_5yr_pct_city,hhi_growth_5yr_pct_county,per_capita_income_zip,per_capita_income_city,per_capita_income_county,unemployment_rate_zip,unemployment_rate_city,unemployment_rate_county,median_home_value_zip,median_home_value_city,median_home_value_county,median_home_value_2029_zip,median_home_value_2029_city,median_home_value_2029_county,home_value_growth_5yr_pct_zip,home_value_growth_5yr_pct_city,home_value_growth_5yr_pct_county,median_rent_zip,median_rent_city,median_rent_county,renter_units_zip,renter_units_city,renter_units_county,owner_units_zip,owner_units_city,owner_units_county,renter_units_2029_zip,renter_units_2029_city,renter_units_2029_county,renter_share_pct_zip,renter_share_pct_city,renter_share_pct_county,mgmt_occupations_zip,mgmt_occupations_city,mgmt_occupations_county,sales_occupations_zip,sales_occupations_city,sales_occupations_county,production_occupations_zip,production_occupations_city,production_occupations_county,construction_occupations_zip,construction_occupations_city,construction_occupations_county,white_collar_share_pct_zip,white_collar_share_pct_city,white_collar_share_pct_county,blue_collar_share_pct_zip,blue_collar_share_pct_city,blue_collar_share_pct_county,crime_total_index_zip,crime_personal_index_zip,crime_property_index_zip,crime_total_index_city,crime_total_index_state,crime_zip_vs_city_ratio,crime_zip_vs_state_ratio,safety_label,multifamily_opportunity_score,blog_url_slug,blog_post_status
64116,KCMO Core,"Kansas City, MO","Clay County, MO","1500 Burlington St, North Kansas City, MO 64116",10,0,720,720,10,1460,1,19815,520858,263462,37.7,35.8,37.9,1797.2,1655.2,662.5,1.61,0.43,0.6,2.05,2.28,2.49,55587,65404,81325,62048,76496,93497,11.62,16.96,14.97,39738,40144,41685,4.3,3.5,2.7,244712,262370,284761,275314,310549,329079,12.51,18.36,15.56,1175,1097,1106,5900,110717,34373,3723,113830,70658,6848,114376,35515,61.31,49.31,32.73,1810,33009,17809,946,21377,12113,670,14385,9456,361,10161,5147,72.78,68.9,67.2,27.22,31.1,32.8,765,1252,675,444,380,172.3,201.3,High,62.7,64116-real-estate-kansas-city,not started
64108,KCMO Core,"Kansas City, MO","Jackson County, MO","2000 Main St, Kansas City, MO 64108",0,0,50,50,0,100,38,11363,520858,726617,33.8,35.8,37.4,3180.8,1655.2,1202,2.37,0.43,0.12,1.66,2.28,2.35,74098,65404,64942,84546,76496,76038,14.1,16.96,17.09,60233,40144,38972,3.2,3.5,3.5,326446,262370,247787,431250,310549,302390,32.1,18.36,22.04,1389,1097,1037,4824,110717,134222,1638,113830,170115,5806,114376,136320,74.65,49.31,44.1,1082,33009,41731,608,21377,32758,202,14385,20160,152,10161,18433,82.68,68.9,65.87,17.32,31.1,34.13,,,,,,,,,52.6,64108-real-estate-kansas-city,not started
64106,KCMO Core,"Kansas City, MO","Jackson County, MO","1228 Holmes St, Kansas City, MO 64106",0,0,0,0,0,0,56,11363,520858,726617,33.8,35.8,37.4,3180.8,1655.2,1202,2.37,0.43,0.12,1.66,2.28,2.35,74098,65404,64942,84546,76496,76038,14.1,16.96,17.09,60233,40144,38972,3.2,3.5,3.5,326446,262370,247787,431250,310549,302390,32.1,18.36,22.04,1389,1097,1037,4824,110717,134222,1638,113830,170115,5806,114376,136320,74.65,49.31,44.1,1082,33009,41731,608,21377,32758,202,14385,20160,152,10161,18433,82.68,68.9,65.87,17.32,31.1,34.13,,,,,,,,,50.9,64106-real-estate-kansas-city,not started
64105,KCMO Core,"Kansas City, MO","Jackson County, MO","925 Walnut St, Kansas City, MO 64105",0,0,10,10,0,20,50,11494,520858,726617,31.6,35.8,37.4,6677.9,1655.2,1202,1.93,0.43,0.12,1.73,2.28,2.35,59458,65404,64942,66877,76496,76038,12.48,16.96,17.09,44764,40144,38972,5.3,3.5,3.5,310000,262370,247787,414855,310549,302390,33.82,18.36,22.04,1381,1097,1037,5062,110717,134222,750,113830,170115,5820,114376,136320,87.1,49.31,44.1,891,33009,41731,530,21377,32758,200,14385,20160,69,10161,18433,84.08,68.9,65.87,15.92,31.1,34.13,,,,,,,,,50.6,64105-real-estate-kansas-city,not started
64118,KCMO Core,"Kansas City, MO","Clay County, MO","6200 N Oak Trafficway, Kansas City, MO 64118",10,0,590,590,10,1200,5,42472,520858,263462,36.7,35.8,37.9,3347.5,1655.2,662.5,0.23,0.43,0.6,2.27,2.28,2.49,65532,65404,81325,76569,76496,93497,16.84,16.96,14.97,38254,40144,41685,3.3,3.5,2.7,240654,262370,284761,285860,310549,329079,18.78,18.36,15.56,991,1097,1106,7666,110717,34373,10990,113830,70658,7629,114376,35515,41.09,49.31,32.73,2619,33009,17809,1801,21377,12113,1621,14385,9456,686,10161,5147,65.71,68.9,67.2,34.29,31.1,32.8,212,267,202,444,380,47.7,55.8,Below Avg,49.0,64118-real-estate-kansas-city,not started
64111,KCMO Core,"Kansas City, MO","Jackson County, MO","4400 Wornall Rd, Kansas City, MO 64111",10,0,140,140,10,300,18,18369,520858,726617,33.1,35.8,37.4,6920.2,1655.2,1202,1.38,0.43,0.12,1.62,2.28,2.35,59070,65404,64942,65534,76496,76038,10.94,16.96,17.09,51962,40144,38972,1.6,3.5,3.5,318519,262370,247787,368182,310549,302390,15.59,18.36,22.04,1279,1097,1037,8349,110717,134222,2728,113830,170115,9078,114376,136320,75.37,49.31,44.1,1660,33009,41731,1065,21377,32758,172,14385,20160,438,10161,18433,81.71,68.9,65.87,18.29,31.1,34.13,,,,,,,,,45.6,64111-real-estate-kansas-city,not started
64109,KCMO Core,"Kansas City, MO","Jackson County, MO","3200 Gillham Rd, Kansas City, MO 64109",0,0,70,70,0,140,32,10897,520858,726617,33.3,35.8,37.4,5306,1655.2,1202,0.99,0.43,0.12,2.01,2.28,2.35,45742,65404,64942,55349,76496,76038,21.0,16.96,17.09,38881,40144,38972,3,3.5,3.5,298387,262370,247787,362628,310549,302390,21.53,18.36,22.04,1009,1097,1037,3746,110717,134222,1558,113830,170115,4049,114376,136320,70.63,49.31,44.1,449,33009,41731,456,21377,32758,214,14385,20160,233,10161,18433,66.94,68.9,65.87,33.06,31.1,34.13,,,,,,,,,44.8,64109-real-estate-kansas-city,not started
64114,KCMO Core,"Kansas City, MO","Jackson County, MO","8200 Wornall Rd, Kansas City, MO 64114",20,0,590,590,20,1220,3,23554,520858,726617,40.6,35.8,37.4,3420.8,1655.2,1202,-0.11,0.43,0.12,1.97,2.28,2.35,76558,65404,64942,85218,76496,76038,11.31,16.96,17.09,50515,40144,38972,1.6,3.5,3.5,278141,262370,247787,318004,310549,302390,14.33,18.36,22.04,1191,1097,1037,4513,110717,134222,7176,113830,170115,4450,114376,136320,38.61,49.31,44.1,1983,33009,41731,1305,21377,32758,452,14385,20160,379,10161,18433,79.83,68.9,65.87,20.17,31.1,34.13,245,162,260,444,380,55.2,64.5,Below Avg,44.6,64114-real-estate-kansas-city,not started
66109,Kansas City KS,"Kansas City, KS","Wyandotte County, KS","8200 Leavenworth Rd, Kansas City, KS 66109",10,0,590,590,10,1200,6,26091,154975,167216,38.8,35,35.1,556.6,1242.4,1102.7,0.29,0.14,0.11,2.66,2.68,2.68,101494,58588,60344,112049,66653,68849,10.4,13.77,14.09,47156,29734,30404,2.8,3.9,3.8,265355,180531,185323,282267,186733,191537,6.37,3.44,3.35,1396,877,885,2353,23507,24913,7384,33185,36412,2479,22999,24259,24.17,41.46,40.62,1594,5456,6034,1542,6130,6512,688,7291,7796,602,6131,6320,70.85,46.33,47.06,29.15,53.67,52.94,96,72,100,226,871,42.5,11.0,Below Avg,43.8,66109-real-estate-kansas-city,not started
64112,KCMO Core,"Kansas City, MO","Jackson County, MO","300 W 47th St, Kansas City, MO 64112",10,0,260,260,10,540,10,9315,520858,726617,33.7,35.8,37.4,6329.8,1655.2,1202,-0.04,0.43,0.12,1.67,2.28,2.35,91468,65404,64942,105302,76496,76038,15.12,16.96,17.09,83410,40144,38972,1.1,3.5,3.5,500492,262370,247787,549304,310549,302390,9.75,18.36,22.04,1421,1097,1037,3281,110717,134222,2138,113830,170115,3280,114376,136320,60.55,49.31,44.1,1131,33009,41731,612,21377,32758,99,14385,20160,56,10161,18433,91.83,68.9,65.87,8.17,31.1,34.13,581,485,599,444,380,130.9,152.9,Above Avg,42.6,64112-real-estate-kansas-city,not started
